,,,,,,,,,,,,
 ,All Sites,Level 0 Main,Level 1 Main, Level 1 Side,Level 2 Main,University Link,School,University,weekday/end,event,,
2015-03-07,3003,1886,315,82,720,546,1,1,0,1,,
2015-03-08,2182,1048,258,28,848,444,1,1,0,1,,
2015-03-09,5027,2772,209,34,2012,3081,1,1,1,1,,
2015-03-10,4951,2840,192,38,1881,2966,1,1,1,1,,
2015-03-11,5290,2921,329,51,1989,3650,1,1,1,1,,
2015-03-12,4708,2669,197,38,1804,2970,1,1,1,1,,
2015-03-13,4432,2445,286,34,1667,2610,1,1,1,1,,
2015-03-14,4268,2653,316,113,1186,1935,1,1,0,1,,
2015-03-15,1914,1093,257,25,539,367,1,1,0,1,,
2015-03-16,5087,2839,175,27,2046,3135,1,1,1,1,,
2015-03-17,5204,2949,224,24,2007,3155,1,1,1,1,,
2015-03-18,5240,3057,273,37,1873,2741,1,1,1,1,,
2015-03-19,5019,2813,205,23,1978,3128,1,1,1,1,,
2015-03-20,6211,3720,416,54,2021,2944,1,1,1,1,,
2015-03-21,4003,2575,384,44,1000,1484,1,0,0,1,,
2015-03-22,1523,962,126,15,420,699,1,0,0,1,,
2015-03-23,5178,3017,244,18,1899,3187,1,0,1,1,,
2015-03-24,5572,3262,238,18,2054,3209,1,0,1,1,,
2015-03-25,4965,2901,268,74,1722,2934,1,0,1,1,,
2015-03-26,5702,3494,240,77,1891,2867,1,0,1,1,,
2015-03-27,3907,2326,189,40,1352,2105,1,0,1,1,,
2015-03-28,3962,2326,329,161,1146,2200,0,0,0,1,,
2015-03-29,1787,926,241,140,480,256,0,0,0,1,,
2015-03-30,2835,1490,184,136,1025,1110,0,0,1,1,,
2015-03-31,2969,1665,146,30,1128,1126,0,0,1,1,,
2015-04-01,2687,1496,140,24,1027,1144,0,1,1,0,,
2015-04-02,2642,1479,234,21,908,1005,0,1,1,0,,
2015-04-03,2092,1048,295,33,716,427,0,1,1,0,,
2015-04-04,1802,958,265,19,560,200,0,1,0,0,,
2015-04-05,991,655,101,6,229,192,0,1,0,0,,
2015-04-06,1771,1073,159,13,526,448,0,1,1,0,,
2015-04-07,2466,1432,178,27,829,1064,0,1,1,0,,
2015-04-08,2667,1588,173,38,868,1135,0,1,1,0,,
2015-04-09,2570,1525,137,30,878,1135,0,1,1,0,,
2015-04-10,2269,1414,167,43,645,984,0,1,1,0,,
2015-04-11,1810,1138,194,16,462,606,0,1,0,0,,
2015-04-12,977,566,90,15,306,433,0,1,0,0,,
2015-04-13,2880,1879,150,20,831,1449,1,1,1,0,,
2015-04-14,3351,2069,164,39,1079,1678,1,1,1,0,,
2015-04-15,3364,2044,226,39,1055,1911,1,1,1,0,,
2015-04-16,3555,2007,252,34,1262,2081,1,1,1,0,,
2015-04-17,2932,1746,193,26,967,1713,1,1,1,0,,
2015-04-18,2315,1455,153,26,681,1011,1,1,0,0,,
2015-04-19,1776,959,132,19,666,814,1,1,0,0,,
2015-04-20,5668,3428,176,26,2038,3831,1,1,1,0,,
2015-04-21,5634,3292,196,29,2117,3858,1,1,1,0,,
2015-04-22,6155,3655,317,43,2140,4190,1,1,1,0,,
2015-04-23,5481,3223,234,24,2000,3513,1,1,1,0,,
2015-04-24,4535,2642,216,46,1631,2994,1,1,1,0,,
2015-04-25,2829,1690,230,35,874,1820,1,1,0,0,,
2015-04-26,1571,898,115,8,550,937,1,1,0,0,,
2015-04-27,4676,2636,195,19,1826,3229,1,1,1,0,,
2015-04-28,5176,3013,232,40,1891,3288,1,1,1,0,,
2015-04-29,4780,2787,259,22,1712,3055,1,1,1,0,,
2015-04-30,4899,2796,230,27,1846,3339,1,1,1,0,,
2015-05-01,3844,2237,211,24,1372,2539,1,1,1,0,,
2015-05-02,1868,1075,211,22,560,824,1,1,0,0,,
2015-05-03,2140,1068,209,33,830,755,1,1,0,0,,
2015-05-04,3210,1973,186,28,1023,1817,1,1,1,0,,
2015-05-05,4555,2725,261,30,1539,2741,1,1,1,0,,
2015-05-06,4086,2479,182,36,1389,2516,1,1,1,0,,
2015-05-07,4490,2611,225,32,1622,2406,1,1,1,0,,
2015-05-08,3821,2292,162,26,1341,2086,1,1,1,0,,
2015-05-09,2226,1341,326,44,515,854,1,1,0,0,,
2015-05-10,1374,824,77,8,465,875,1,1,0,0,,
2015-05-11,4307,2547,201,27,1532,2579,1,1,1,0,,
2015-05-12,4374,2674,213,20,1467,2499,1,1,1,0,,
2015-05-13,4359,2653,243,22,1441,2467,1,1,1,0,,
2015-05-14,4072,2399,146,44,1483,2435,1,1,1,0,,
2015-05-15,3789,2190,239,26,1334,2586,1,1,1,0,,
2015-05-16,1931,1113,281,47,490,732,1,1,0,0,,
2015-05-17,1067,647,80,18,322,600,1,1,0,0,,
2015-05-18,3242,2031,193,57,961,1653,1,1,1,0,,
2015-05-19,3179,1890,274,18,997,1738,1,1,1,0,,
2015-05-20,3299,1933,244,36,1086,1769,1,0,1,0,,
2015-05-21,3388,2061,217,15,1095,1723,1,0,1,0,,
2015-05-22,2596,1530,175,14,877,1462,1,0,1,0,,
2015-05-23,1435,839,206,23,367,534,1,0,0,0,,
2015-05-24,1473,854,147,25,447,436,1,0,0,0,,
2015-05-25,2063,1219,221,26,597,749,1,0,1,0,,
2015-05-26,3127,1705,230,71,1121,1677,1,0,1,0,,
2015-05-27,3697,2247,267,49,1134,1789,1,0,1,0,,
2015-05-28,3216,1787,274,42,1113,1584,1,0,1,0,,
2015-05-29,3481,1964,266,46,1205,1199,1,0,1,0,,
2015-05-30,1434,952,156,20,306,365,1,0,0,0,,
2015-05-31,1038,617,97,18,306,308,1,0,0,0,,
2015-06-01,2438,1465,204,43,726,1218,0,0,1,1,,
2015-06-02,2213,1392,206,22,593,1007,0,0,1,1,,
2015-06-03,2372,1496,174,29,673,1035,0,0,1,1,,
2015-06-04,3052,1938,286,21,807,1198,0,0,1,1,,
2015-06-05,2328,1446,239,19,624,886,0,0,1,1,,
2015-06-06,1531,936,298,40,257,255,0,0,0,1,,
2015-06-07,656,475,44,9,128,188,0,0,0,1,,
2015-06-08,2443,1622,146,28,647,1299,0,0,1,1,,
2015-06-09,2747,1767,190,19,771,1264,1,0,1,1,,
2015-06-10,2393,1562,147,15,669,1177,1,0,1,1,,
2015-06-11,3121,2146,234,20,721,1083,1,0,1,1,,
2015-06-12,2223,1364,178,41,640,929,1,0,1,1,,
2015-06-13,1686,930,261,37,458,280,1,0,0,1,,
2015-06-14,1146,711,136,17,282,245,1,0,0,1,,
2015-06-15,2236,1403,205,23,605,1045,1,0,1,1,,
2015-06-16,2476,1594,193,43,646,1146,1,0,1,1,,
2015-06-17,3780,2271,371,76,1062,1548,1,0,1,1,,
2015-06-18,2835,1802,276,26,731,1127,1,0,1,1,,
2015-06-19,2068,1278,185,30,575,921,1,0,1,1,,
2015-06-20,4109,2231,533,309,1036,1693,1,0,0,1,,
2015-06-21,621,396,67,8,150,191,1,0,0,1,,
2015-06-22,2038,1301,153,51,533,925,1,0,1,1,,
2015-06-23,2367,1455,149,44,719,966,1,0,1,1,,
2015-06-24,2441,1547,176,32,686,972,1,0,1,1,,
2015-06-25,2596,1513,245,41,797,1128,1,0,1,1,,
2015-06-26,2023,1158,192,24,649,977,1,0,1,1,,
2015-06-27,1571,911,232,49,379,489,1,0,0,1,,
2015-06-28,914,544,66,14,290,360,1,0,0,1,,
2015-06-29,2493,1684,177,35,597,1137,1,0,1,1,,
2015-06-30,2209,1370,178,68,593,1060,1,0,1,1,,
2015-07-01,2665,1599,188,36,842,1133,1,0,1,1,,
2015-07-02,2949,1724,210,60,955,1055,1,0,1,1,,
2015-07-03,2641,1700,131,14,796,788,1,0,1,1,,
2015-07-04,1544,909,223,170,242,157,1,0,0,1,,
2015-07-05,1080,572,149,167,192,0,1,0,0,1,,
2015-07-06,2119,1276,174,88,581,717,1,0,1,1,,
2015-07-07,2380,1538,203,43,596,782,1,0,1,1,,
2015-07-08,1941,1310,96,16,519,718,1,0,1,1,,
2015-07-09,2132,1441,100,9,582,725,1,0,1,1,,
2015-07-10,1800,1071,183,99,447,551,1,0,1,1,,
2015-07-11,1143,716,201,19,207,134,1,0,0,1,,
2015-07-12,753,447,84,15,207,1,1,0,0,1,,
2015-07-13,1767,1015,111,17,624,688,1,0,1,1,,
2015-07-14,1972,1146,148,20,658,725,1,0,1,1,,
2015-07-15,1936,1265,105,18,548,736,1,0,1,1,,
2015-07-16,1560,937,103,21,499,665,1,0,1,0,,
2015-07-17,1519,861,189,8,461,613,1,0,1,0,,
2015-07-18,788,544,69,6,169,111,1,0,0,0,,
2015-07-19,785,548,95,14,128,4,1,0,0,0,,
2015-07-20,1470,796,104,15,555,633,1,0,1,0,,
2015-07-21,1722,988,130,6,598,635,1,0,1,0,,
2015-07-22,1851,1017,123,26,685,571,1,0,1,0,,
2015-07-23,1733,988,130,13,602,575,1,0,1,0,,
2015-07-24,1845,983,139,13,710,491,0,0,1,0,,
2015-07-25,904,556,70,18,260,102,0,0,0,0,,
2015-07-26,1142,394,226,21,501,5,0,0,0,0,,
2015-07-27,1920,934,163,28,795,622,0,0,1,0,,
2015-07-28,2025,1052,199,21,753,659,0,0,1,0,,
2015-07-29,2085,1097,160,22,806,612,0,0,1,0,,
2015-07-30,1954,1086,162,26,680,570,0,0,1,0,,
2015-07-31,1833,1133,147,27,526,425,0,0,1,0,,
2015-08-01,918,593,70,10,245,68,0,0,0,0,,
2015-08-02,632,392,107,10,123,1,0,0,0,0,,
2015-08-03,1640,933,134,18,555,503,0,0,1,0,,
2015-08-04,1738,930,164,22,622,462,0,0,1,0,,
2015-08-05,1825,1036,172,20,597,440,0,0,1,0,,
2015-08-06,1922,1000,148,46,728,436,0,0,1,0,,
2015-08-07,1646,829,190,25,602,392,0,0,1,0,,
2015-08-08,915,557,104,13,241,58,0,0,0,0,,
2015-08-09,581,336,98,7,140,1,0,0,0,0,,
2015-08-10,1599,882,145,24,548,437,0,0,1,0,,
2015-08-11,1616,979,127,24,486,492,0,0,1,0,,
2015-08-12,1857,1153,122,25,557,531,0,0,1,0,,
2015-08-13,1710,953,126,26,605,480,0,0,1,0,,
2015-08-14,1970,979,193,32,766,369,0,0,1,0,,
2015-08-15,1114,730,90,10,284,227,0,0,0,0,,
2015-08-16,655,401,116,5,133,0,0,0,0,0,,
2015-08-17,1552,896,154,19,483,412,0,0,1,0,,
2015-08-18,1524,870,171,21,462,496,0,0,1,0,,
2015-08-19,1801,997,193,15,596,495,0,0,1,0,,
2015-08-20,1726,908,179,36,603,456,0,0,1,0,,
2015-08-21,1603,836,182,24,561,375,0,0,1,0,,
2015-08-22,1036,643,125,13,255,112,0,0,0,1,,
2015-08-23,936,486,132,12,306,0,0,0,0,1,,
2015-08-24,1742,951,144,65,582,432,0,0,1,0,,
2015-08-25,2136,1102,190,86,758,524,0,0,1,0,,
2015-08-26,2155,1204,193,62,696,490,0,0,1,0,,
2015-08-27,2259,1286,232,76,665,601,0,0,1,0,,
2015-08-28,1722,1005,189,34,494,411,0,0,1,0,,
2015-08-29,984,663,119,17,185,142,0,0,0,0,,
2015-08-30,998,474,194,20,310,0,0,0,0,0,,
2015-08-31,2485,790,488,100,1107,24,0,0,1,0,,
2015-09-01,1764,980,147,31,606,531,0,0,1,0,,
2015-09-02,1820,1003,178,29,610,580,0,0,1,0,,
2015-09-03,1527,941,159,19,408,398,1,0,1,0,,
2015-09-04,1376,749,148,31,448,472,1,0,1,0,,
2015-09-05,1210,842,141,17,210,151,1,0,0,0,,
2015-09-06,610,426,71,5,108,0,1,0,0,0,,
2015-09-07,1614,953,124,39,498,648,1,0,1,0,,
2015-09-08,1853,1058,127,128,540,957,1,0,1,0,,
2015-09-09,1808,1108,153,40,507,720,1,0,1,0,,
2015-09-10,1807,1059,156,51,541,635,1,0,1,0,,
2015-09-11,1591,1061,133,28,369,438,1,0,1,0,,
2015-09-12,3609,2800,364,54,391,130,1,0,0,1,,
2015-09-13,2339,1741,308,22,268,0,1,0,0,1,,
2015-09-14,1794,1230,136,38,390,927,1,0,1,0,,
2015-09-15,1773,1145,109,34,485,680,1,0,1,0,,
2015-09-16,1861,1247,135,49,430,838,1,0,1,0,,
2015-09-17,2073,1440,119,45,469,973,1,0,1,0,,
2015-09-18,1915,1280,138,26,471,843,1,0,1,0,,
2015-09-19,1341,848,188,30,275,165,1,0,0,0,,
2015-09-20,799,540,93,4,162,0,1,0,0,0,,
2015-09-21,4850,3484,284,77,1005,3832,1,1,1,0,,
2015-09-22,4624,3689,255,55,625,3469,1,1,1,0,,
2015-09-23,5679,4322,518,72,767,1783,1,1,1,0,,
2015-09-24,4174,3163,173,75,763,3090,1,1,1,0,,
2015-09-25,3120,2271,165,36,648,1527,1,1,1,0,,
2015-09-26,1543,1059,188,23,273,158,1,1,0,0,,
2015-09-27,1032,720,107,41,164,0,1,1,0,0,,
2015-09-28,6435,4636,295,40,1464,4556,1,1,1,0,,
2015-09-29,6754,4783,342,53,1576,4078,1,1,1,0,,
2015-09-30,4050,3037,217,22,774,2080,1,1,1,1,,
2015-10-01,6085,4442,317,60,1266,3788,1,1,1,1,,
2015-10-02,4960,3553,228,36,1143,2937,1,1,1,1,,
2015-10-03,4442,2956,811,127,548,1522,1,1,0,1,,
2015-10-04,785,554,91,8,132,57,1,1,0,1,,
2015-10-05,5711,4156,207,28,1320,3419,1,1,1,1,,
2015-10-06,6248,4470,266,58,1454,3545,1,1,1,1,,
2015-10-07,3964,2845,199,40,880,1956,1,1,1,1,,
2015-10-08,5572,4076,229,41,1226,3161,1,1,1,1,,
2015-10-09,4430,3051,236,27,1116,2323,1,1,1,1,,
2015-10-10,3664,2409,503,38,714,159,1,1,0,1,,
2015-10-11,4282,2686,840,80,676,66,1,1,0,1,,
2015-10-12,5255,3696,269,33,1257,3193,1,1,1,1,,
2015-10-13,5963,4310,202,40,1411,3350,1,1,1,1,,
2015-10-14,3818,2724,206,50,838,2098,1,1,1,1,,
2015-10-15,5604,3869,337,40,1358,3242,1,1,1,1,,
2015-10-16,4925,3587,182,22,1134,2514,1,1,1,1,,
2015-10-17,1396,883,186,21,306,205,1,1,0,1,,
2015-10-18,955,584,137,8,226,131,1,1,0,1,,
2015-10-19,5218,3670,236,22,1290,3116,1,1,1,1,,
2015-10-20,5265,3710,217,22,1316,3100,1,1,1,1,,
2015-10-21,3931,2696,206,20,1009,2022,1,1,1,1,,
2015-10-22,4713,3266,231,33,1183,2900,1,1,1,1,,
2015-10-23,4771,3341,238,18,1174,2451,1,1,1,1,,
2015-10-24,1721,952,238,47,484,185,1,1,0,1,,
2015-10-25,1118,709,134,20,255,132,1,1,0,1,,
2015-10-26,5494,3739,198,33,1524,2876,0,1,1,1,,
2015-10-27,6336,4308,249,37,1742,3105,0,1,1,1,,
2015-10-28,4458,3015,229,41,1173,1816,0,1,1,1,,
2015-10-29,6080,4124,234,42,1680,2977,0,1,1,1,,
2015-10-30,5396,3707,237,20,1432,2174,0,1,1,1,,
2015-10-31,937,635,116,18,168,142,0,1,0,1,,
2015-11-01,1220,914,172,14,120,148,1,1,0,1,,
2015-11-02,3447,2545,185,28,689,1616,1,1,1,0,,
2015-11-03,4232,3242,176,41,773,1790,1,1,1,0,,
2015-11-04,4009,3035,190,36,748,1574,1,1,1,1,,
2015-11-05,4105,3049,161,26,869,1662,1,1,1,0,,
2015-11-06,3589,2742,172,33,642,1191,1,1,1,0,,
2015-11-07,1384,856,234,19,275,180,1,1,0,0,,
2015-11-08,857,526,99,23,209,175,1,1,0,0,,
2015-11-09,5071,3545,179,93,1254,2921,1,1,1,1,,
2015-11-10,5566,3932,204,49,1381,3077,1,1,1,1,,
2015-11-11,3699,2486,208,57,948,1923,1,1,1,1,,
2015-11-12,4942,3409,243,38,1252,2840,1,1,1,1,,
2015-11-13,4303,3052,169,20,1062,2200,1,1,1,1,,
2015-11-14,5539,3545,1039,202,753,1989,1,1,0,1,,
2015-11-15,985,562,114,24,285,222,1,1,0,1,,
2015-11-16,4731,3222,252,41,1216,2929,1,1,1,1,,
2015-11-17,5973,4141,370,72,1390,3022,1,1,1,1,,
2015-11-18,4045,2852,255,54,884,1838,1,1,1,1,,
2015-11-19,4877,3518,262,52,1045,2735,1,1,1,1,,
2015-11-20,3990,2779,190,34,987,2094,1,1,1,1,,
2015-11-21,1293,751,237,50,255,229,1,1,0,1,,
2015-11-22,1659,497,531,387,244,158,1,1,0,1,,
2015-11-23,4414,2929,203,28,1254,2708,1,1,1,0,,
2015-11-24,5012,3555,214,38,1205,2814,1,1,1,0,,
2015-11-25,4100,2909,243,39,909,1979,1,1,1,1,,
2015-11-26,5264,3851,221,26,1166,2862,1,1,1,0,,
2015-11-27,3878,2748,196,19,915,1926,1,1,1,0,,
2015-11-28,1381,921,172,31,257,204,1,1,0,0,,
2015-11-29,826,447,117,20,242,133,1,1,0,0,,
2015-11-30,4759,3344,179,72,1164,2706,1,1,1,0,,
2015-12-01,4784,3270,236,60,1218,2784,1,1,1,0,,
2015-12-02,3278,2281,204,23,770,1754,1,1,1,0,,
2015-12-03,4878,3549,174,58,1097,2800,1,1,1,0,,
2015-12-04,3621,2492,184,58,887,2001,1,1,1,0,,
2015-12-05,1217,736,217,25,239,286,1,1,0,0,,
2015-12-06,740,477,91,9,163,275,1,1,0,0,,
2015-12-07,4547,3208,196,18,1125,2789,1,1,1,0,,
2015-12-08,4441,3029,227,38,1147,2802,1,1,1,0,,
2015-12-09,3641,2460,213,48,920,2134,1,1,1,0,,
2015-12-10,5240,3800,207,42,1191,2565,1,1,1,0,,
2015-12-11,4206,3080,146,40,940,1859,1,1,1,0,,
2015-12-12,1350,802,173,129,246,245,1,1,0,0,,
2015-12-13,1176,606,188,120,262,271,1,1,0,0,,
2015-12-14,4248,2910,246,87,1005,2382,1,1,1,0,,
2015-12-15,4327,3106,219,16,986,2292,1,1,1,1,,
2015-12-16,3091,2230,214,20,627,1495,1,1,1,0,,
2015-12-17,3386,2364,175,32,815,1860,1,1,1,0,,
2016-01-10,857,462,130,21,244,0,1,0,1,0,,
2016-01-11,3951,2684,139,25,1103,2486,1,0,0,0,,
2016-01-12,3633,2471,171,27,964,2256,1,0,0,0,,
2016-01-13,2957,1992,169,19,777,1610,1,0,1,0,,
2016-01-14,3622,2558,119,16,929,2294,1,0,1,0,,
2016-01-15,2942,2010,119,19,794,1651,1,0,1,0,,
2016-01-16,1381,877,81,14,409,328,1,0,1,0,,
2016-01-17,978,503,148,32,295,294,1,0,1,0,,
2016-01-18,3733,2628,121,23,961,2128,1,0,0,0,,
2016-01-19,3272,2189,129,28,926,1974,1,0,0,0,,
2016-01-20,3049,1992,134,20,903,1699,1,0,1,0,,
2016-01-21,3545,2422,152,71,900,1722,1,0,1,0,,
2016-01-22,2962,2056,152,13,741,1197,1,0,1,0,,
2016-01-23,1576,924,250,2,400,220,1,0,1,0,,
2016-01-24,964,452,175,1,336,129,1,0,1,0,,
2016-01-25,3676,2652,206,4,814,1558,1,1,0,0,,
2016-01-26,3812,2811,196,2,803,1378,1,1,0,0,,
2016-01-27,3196,2287,193,8,708,1229,1,1,1,0,,
2016-01-28,3480,2595,172,2,711,1318,1,1,1,0,,
2016-01-29,3162,2293,208,1,660,1017,1,1,1,0,,
2016-01-30,2747,1640,405,4,698,1197,1,1,1,0,,
2016-01-31,1240,573,227,0,440,251,1,1,1,0,,
2016-02-01,4944,3777,155,0,1012,2431,1,1,0,0,,
2016-02-02,5596,3993,213,2,1388,2746,1,1,0,0,,
2016-02-03,3974,2920,204,2,848,1917,1,1,1,0,,
2016-02-04,5049,3743,147,2,1157,2458,1,1,1,0,,
2016-02-05,4320,3186,184,4,946,1841,1,1,1,0,,
2016-02-06,2433,1493,345,1,594,238,1,1,1,0,,
2016-02-07,2475,1598,250,1,626,156,1,1,1,0,,
2016-02-08,4783,3467,161,1,1154,2329,1,1,0,0,,
2016-02-09,5359,3753,231,0,1375,2611,1,1,0,0,,
2016-02-10,3921,2781,217,3,920,1821,1,1,1,0,,
2016-02-11,4636,3336,164,2,1134,2464,1,1,1,0,,
2016-02-12,3991,2779,192,0,1020,1770,1,1,1,0,,
2016-02-13,1678,1087,224,0,367,221,0,1,1,0,,
2016-02-14,1333,826,136,2,369,121,0,1,1,0,,
2016-02-15,5653,3901,221,3,1528,2186,0,1,0,0,,
2016-02-16,6036,4099,260,3,1674,2449,0,1,0,0,,
2016-02-17,5517,3688,292,9,1528,1880,0,1,1,0,,
2016-02-18,6299,4363,329,37,1570,2226,0,1,1,1,,
2016-02-19,5820,3867,320,62,1571,1631,0,1,1,0,,
2016-02-20,2879,1901,305,36,637,935,0,1,1,0,,
2016-02-21,1422,885,176,16,345,139,1,1,1,0,,
2016-02-22,5044,3653,208,20,1163,2405,1,1,0,1,,
2016-02-23,5350,3903,177,18,1252,2448,1,1,0,1,,
2016-02-24,4173,3010,179,25,959,2102,1,1,1,1,,
2016-02-25,4904,3566,176,22,1140,2311,1,1,1,1,,
2016-02-26,4168,3049,128,6,985,1716,1,1,1,1,,
2016-02-27,2552,1598,321,90,543,877,1,1,1,1,,
2016-02-28,871,581,95,13,182,109,1,1,1,0,,
2016-02-29,3775,2806,206,12,751,1597,1,1,0,0,,
2016-03-01,3831,2734,183,43,871,1449,1,1,0,0,,
2016-03-02,4123,2903,247,60,913,1889,1,1,1,1,,
2016-03-03,3505,2435,288,26,756,1344,1,1,1,0,,
2016-03-04,3449,2660,163,23,603,1102,1,1,1,0,,
2016-03-05,1615,978,254,62,321,290,1,1,1,0,,
2016-03-06,747,468,93,21,165,81,1,1,1,0,,
2016-03-07,4346,3238,150,19,939,2252,1,1,0,0,,
2016-03-08,4746,3342,173,22,1209,2452,1,1,0,0,,
2016-03-09,4120,2968,206,36,910,2111,1,1,1,0,,
2016-03-10,4466,3123,198,26,1119,2397,1,1,1,0,,
2016-03-11,4004,2833,153,14,1004,1711,1,1,1,0,,
2016-03-12,1495,1035,175,23,262,237,1,1,1,0,,
2016-03-13,832,588,87,12,145,180,1,1,1,0,,
2016-03-14,4502,3228,198,21,1055,2351,1,1,0,0,,
2016-03-15,5324,3868,243,20,1193,2273,1,1,0,1,,
2016-03-16,4692,3398,251,32,1011,1831,1,1,1,1,,
2016-03-17,4458,3140,257,18,1043,2105,1,1,1,1,,
2016-03-18,3946,2897,188,39,822,1561,1,1,1,1,,
2016-03-19,1992,1218,304,9,461,900,1,1,1,1,,
2016-03-20,844,591,72,10,171,0,1,1,1,1,,
2016-03-21,2091,1470,139,11,471,760,1,0,0,1,,
2016-03-22,2405,1696,127,19,563,876,1,0,0,1,,
2016-03-23,2818,2034,266,20,498,783,1,0,1,1,,
2016-03-24,2179,1499,133,23,524,748,1,0,1,1,,
2016-03-25,1379,980,128,25,246,0,0,0,1,1,,
2016-03-26,1987,1124,310,45,508,8,0,0,1,1,,
2016-03-27,1205,783,151,12,259,0,0,0,1,1,,
2016-03-28,2239,1255,265,26,693,14,0,0,0,1,,
2016-03-29,2665,1765,141,20,739,623,0,0,0,1,,
2016-03-30,2145,1453,112,21,559,612,0,0,1,1,,
2016-03-31,2260,1585,112,16,547,663,0,0,1,1,,
2016-04-01,1959,1287,158,29,485,558,0,1,1,1,,
2016-04-02,1753,1065,150,196,342,130,0,1,1,1,,
2016-04-03,1122,696,108,109,209,0,0,1,1,1,,
2016-04-04,4179,2815,154,58,1152,1868,0,1,0,1,,
2016-04-05,4099,2781,164,31,1123,2041,0,1,0,1,,
2016-04-06,3673,2485,172,15,1001,1517,0,1,1,1,,
2016-04-07,4394,2898,176,28,1292,1911,0,1,1,1,,
2016-04-08,3868,2584,198,22,1064,1555,0,1,1,1,,
2016-04-09,1933,1384,183,71,295,187,0,1,1,1,,
2016-04-10,803,539,92,17,155,0,0,1,1,1,,
2016-04-11,4311,3039,151,18,1103,2396,1,1,0,0,,
2016-04-12,4233,2920,149,27,1137,2415,1,1,0,0,,
2016-04-13,3290,2343,130,15,802,1677,1,1,1,0,,
2016-04-14,3988,2776,179,21,1012,2219,1,1,1,0,,
2016-04-15,3700,2575,184,22,919,1689,1,1,1,0,,
2016-04-16,1735,1248,137,19,331,239,1,1,1,0,,
2016-04-17,796,567,70,3,156,190,1,1,1,0,,
2016-04-18,3077,2249,139,26,663,1517,1,1,0,1,,
2016-04-19,3723,2795,160,16,752,1802,1,1,0,1,,
2016-04-20,4214,3140,276,27,771,1941,1,1,1,1,,
2016-04-21,3334,2467,157,23,687,1618,1,1,1,1,,
2016-04-22,2812,2055,133,16,608,1191,1,1,1,1,,
2016-04-23,1518,1004,191,61,262,330,1,1,1,1,,
2016-04-24,876,601,86,6,183,222,1,1,1,1,,
2016-04-25,4055,2851,124,22,1058,2324,1,1,0,0,,
2016-04-26,4533,3265,133,22,1113,2555,1,1,0,0,,
2016-04-27,3627,2560,124,29,914,2190,1,1,1,0,,
2016-04-28,4361,3003,168,33,1157,2614,1,1,1,0,,
2016-04-29,3348,2334,129,18,867,1666,1,1,1,0,,
2016-04-30,1917,1374,177,25,341,295,1,1,1,0,,
2016-05-01,1606,1021,198,18,369,241,1,1,1,0,,
2016-05-02,2568,1515,223,51,779,46,1,1,0,0,,
2016-05-03,4186,2867,137,20,1162,2620,1,1,0,0,,
2016-05-04,4146,2912,213,12,1009,2361,1,1,1,0,,
2016-05-05,4352,3114,185,19,1034,2333,1,1,1,0,,
2016-05-06,3631,2578,142,6,905,1772,1,1,1,0,,
2016-05-07,1350,910,152,37,251,371,1,1,1,0,,
2016-05-08,858,631,60,11,156,331,1,1,1,0,,
2016-05-09,4030,2938,305,133,654,2236,1,1,0,0,,
